#WinSize=100	WinCount=228086	DepthCount=224829
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	3172	1	0	0	0	0	0	0	0	0	0	0.00196796
1.5	6	6	0	0	0	0	0	0	0	0	0	0.0118078
2.5	22	22	0	0	0	0	0	0	0	0	0	0.0432952
3.5	50	50	0	0	0	0	0	0	0	0	0	0.0983982
4.5	76	76	0	0	0	0	0	0	0	0	0	0.149565
5.5	176	176	0	0	0	0	0	0	0	0	0	0.346362
6.5	224	223	0	0	0	0	0	0	0	0	0	0.438856
7.5	277	277	0	0	0	0	0	0	0	0	0	0.545126
8.5	321	321	0	0	0	0	0	0	0	0	0	0.631716
9.5	452	452	0.752235	0.752235	1.6	0	0	0	0	0	333.61	0.88952
10.5	607	607	0.00360791	0.00360791	0.99	0	0	0	0	0	1.2	1.19455
11.5	801	801	0.0123596	0.0123596	9.9	0	0	0	0	0	9.9	1.57634
12.5	885	885	0.00136723	0.00136723	0.01	0	0	0	0	0	0.99	1.74165
13.5	1103	1103	0.0229646	0.0229646	0.29	0	0	0	0	0	17.16	2.17066
14.5	1327	1326	0.180452	0.180452	0.09	0	0	0	0	0	150	2.60952
15.5	1670	1670	0.111036	0.111036	0.16	0	0	0	0	0	119.19	3.2865
16.5	1855	1853	0.041047	0.041047	0.45	0	0	0	0	0	35.49	3.64664
17.5	2102	2102	0.0247336	0.0247336	0.12	0	0	0	0	0	42.33	4.13666
18.5	2418	2417	0.208709	0.208709	0.18	0	0	0	0	0	376.72	4.75657
19.5	2608	2606	0.0574751	0.0574751	0.09	0	0	0	0	0	74.44	5.12851
20.5	2941	2939	0.0396053	0.0396053	0.4	0	0	0	0	0	29.91	5.78385
21.5	3303	3302	0.515267	0.515267	0.04	0	0	0	0	0	464.14	6.49822
22.5	3685	3683	1.22818	1.22818	0.26	0	0	0	0	0	1000.35	7.24801
23.5	4082	4082	0.963645	0.963645	0.01	0	0	0	0	0	567.31	8.03323
24.5	4478	4478	1.46712	1.46712	0.01	0	0	0	0	0	1058.31	8.81254
25.5	4821	4816	2.4573	2.4573	0.1	0	0	0	0	0	1308.3	9.47771
26.5	5379	5377	2.17177	2.17177	0.05	0	0	0	0	0	1344.42	10.5817
27.5	5872	5868	3.41757	3.41757	0.05	0	0	0	0	0	1477.15	11.548
28.5	13492	13491	5.46007	5.46007	0.01	0	0	0	0	0	9684.44	26.5498
29.5	8	7	0	5.88554	0	0	0	0	0	0	0	0.0137757
30.5	7817	7811	5.11735	5.11735	0.02	0	0	0	0	0	2587.09	15.3718
31.5	8428	8427	10.7577	10.7577	0.02	0	0	0	0	0	32256.3	16.584
32.5	8906	8906	7.77478	7.77478	0.01	0	0	0	0	0	5493.6	17.5267
33.5	9667	9663	8.90932	8.90932	0.02	0	0	0	0	0	2668.05	19.0164
34.5	10118	10117	9.03069	9.03069	0.01	0	0	0	0	0	6162.72	19.9099
35.5	10426	10425	9.97349	9.97349	0.01	0	0	0	0	0	2910.6	20.516
36.5	10643	10642	10.0508	10.0508	0.01	0	0	0	0	0	3669.68	20.9431
37.5	10327	10323	13.9235	13.9235	0.02	0	0	0	0	0	9704.96	20.3153
38.5	10230	10227	16.341	16.341	0.01	0	0	0	0	0	38131.8	20.1264
39.5	9773	9773	18.7521	18.7521	0.01	0	0	0	0	0	61602	19.2329
40.5	9253	9247	14.8264	14.8264	0.01	0	0	0	0	0	5335.46	18.1978
41.5	8524	8520	19.7272	19.7272	0.01	0	0	0	0	0	15539	16.7671
42.5	7806	7802	12.8265	12.8265	0.02	0	0	0	0	0	2835.31	15.3541
43.5	6938	6937	15.7209	15.7209	0.02	0	0	0	0	0	5509.67	13.6518
44.5	5911	5908	17.1787	17.1787	0.04	0	0	0	0	0	4315.3	11.6267
45.5	5203	5200	22.4689	22.4689	0.02	0	0	0	0	0	37573.6	10.2334
46.5	4255	4251	17.7481	17.7481	0.03	0	0	0	0	0	7202.75	8.36581
47.5	3400	3400	18.0839	18.0839	0.02	0	0	0	0	0	4767.72	6.69108
48.5	2889	2889	22.404	22.404	0.04	0	0	0	0	0	24185.3	5.68545
49.5	2158	2158	17.5846	17.5846	0.03	0	0	0	0	0	7788.33	4.24687
50.5	1644	1637	14.7594	14.7594	0.06	0	0	0	0	0	6494.16	3.22156
51.5	1309	1308	12.4806	12.4806	0.08	0	0	0	0	0	5465.79	2.5741
52.5	1006	1006	11.8844	11.8844	0.11	0	0	0	0	0	1645.6	1.97977
53.5	794	794	14.0641	14.0641	0.03	0	0	0	0	0	3205.62	1.56256
54.5	578	578	10.2168	10.2168	0.09	0	0	0	0	0	1478.44	1.13748
55.5	451	450	4.87227	4.87227	0.26	0	0	0	0	0	1122.07	0.885584
56.5	598	598	6.65421	6.65421	0.15	0	0	0	0	0	1311.75	1.17684
57.5	218	216	22.6692	22.6692	0.14	0	0	0	0	0	2349	0.42508
58.5	3	1	0	9.7706	0	0	0	0	0	0	0	0.00196796
59.5	114	114	10.3298	10.3298	0.23	0	0	0	0	0	653.82	0.224348
60.5	106	106	1.31321	1.31321	0.62	0	0	0	0	0	108.16	0.208604
61.5	78	78	0.304615	0	0.66	0	0	0	0	0	19.14	0.153501
62.5	53	53	7.57792	0	41.23	0	0	0	0	0	360.4	0.104302
63.5	48	48	7.11562	0	4.95	0	0	0	0	0	221.76	0.0944623
64.5	58	58	2.20397	0	51.52	0	0	0	0	0	76.31	0.114142
65.5	32	32	0	0	0	0	0	0	0	0	0	0.0629748
66.5	32	31	0.0906452	0	2.81	0	0	0	0	0	2.81	0.0610069
67.5	21	21	7.58143	0	159.21	0	0	0	0	0	159.21	0.0413272
68.5	19	19	0	0	0	0	0	0	0	0	0	0.0373913
69.5	11	11	0.000909091	0	0.01	0	0	0	0	0	0.01	0.0216476
70.5	12	12	0	0	0	0	0	0	0	0	0	0.0236156
71.5	7	7	0	0	0	0	0	0	0	0	0	0.0137757
72.5	1	1	0	0	0	0	0	0	0	0	0	0.00196796
73.5	2	2	0	0	0	0	0	0	0	0	0	0.00393593
74.5	2	2	0	0	0	0	0	0	0	0	0	0.00393593
75.5	3	2	0	0	0	0	0	0	0	0	0	0.00393593
76.5	1	1	0	0	0	0	0	0	0	0	0	0.00196796
