#WinSize=200	WinCount=113470	DepthCount=111902
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
5.5	1	1	0	0	0	0	0	0	0	0	0	0.0035523
6.5	8	8	0	0	0	0	0	0	0	0	0	0.0284184
7.5	10	10	0	0	0	0	0	0	0	0	0	0.035523
8.5	22	22	0	0	0	0	0	0	0	0	0	0.0781506
9.5	52	52	0	0	0	0	0	0	0	0	0	0.18472
10.5	97	97	0	0.00101261	0	0	0	0	0	0	0	0.344573
11.5	169	169	0	0	0	0	0	0	0	0	0	0.600339
12.5	248	248	0.0104032	0.0104032	2.58	0	0	0	0	0	2.58	0.88097
13.5	361	361	0	0	0	0	0	0	0	0	0	1.28238
14.5	465	462	0	0	0	0	0	0	0	0	0	1.64116
15.5	565	565	0.031177	0.031177	0.09	0	0	0	0	0	17.525	2.00705
16.5	756	756	0.120238	0.120238	0.5	0	0	0	0	0	78.4	2.68554
17.5	963	963	0.0771236	0.0771236	6.35	0	0	0	0	0	37.26	3.42086
18.5	1137	1136	0.0440009	0.0440009	0.015	0	0	0	0	0	47.19	4.03541
19.5	1358	1358	0.0160714	0.0160714	0.54	0	0	0	0	0	11.825	4.82402
20.5	1459	1459	0.348739	0.348739	1.325	0	0	0	0	0	329.01	5.18281
21.5	1645	1645	0.231432	0.231432	0.005	0	0	0	0	0	178.93	5.84353
22.5	1887	1887	0.522634	0.522634	0.115	0	0	0	0	0	345.96	6.70319
23.5	2041	2041	0.591654	0.591654	0.03	0	0	0	0	0	504.87	7.25024
24.5	2160	2160	0.690593	0.690593	0.025	0	0	0	0	0	516.225	7.67297
25.5	2522	2519	0.521143	0.521143	0.045	0	0	0	0	0	236.51	8.94824
26.5	2741	2740	1.41214	1.41214	0.1	0	0	0	0	0	546.975	9.7333
27.5	2922	2920	1.699	1.699	0.01	0	0	0	0	0	873.015	10.3727
28.5	4886	4886	2.03357	2.03357	0.02	0	0	0	0	0	1010	17.3565
29.5	1877	1877	2.15381	2.15381	0.1	0	0	0	0	0	1139.14	6.66767
30.5	3854	3853	4.13725	4.13725	0.05	0	0	0	0	0	1805.04	13.687
31.5	4352	4348	4.83053	4.83053	0.005	0	0	0	0	0	1543.54	15.4454
32.5	4843	4841	8.82256	8.82256	0.04	0	0	0	0	0	12209.9	17.1967
33.5	5319	5319	7.99957	7.99957	0.005	0	0	0	0	0	2771.34	18.8947
34.5	5825	5823	14.0945	14.0945	0.01	0	0	0	0	0	9630.68	20.685
35.5	6026	6025	10.3539	10.3539	0.02	0	0	0	0	0	5779.24	21.4026
36.5	6234	6232	19.8305	19.8305	0.01	0	0	0	0	0	34733	22.1379
37.5	6060	6058	10.2365	10.2365	0.005	0	0	0	0	0	2470.32	21.5198
38.5	5944	5942	12.2611	12.2611	0.01	0	0	0	0	0	1398.85	21.1078
39.5	5754	5753	13.4034	13.4034	0.005	0	0	0	0	0	1490.78	20.4364
40.5	5092	5086	17.0361	17.0361	0.005	0	0	0	0	0	9361.42	18.067
41.5	4550	4549	17.4905	17.4905	0.02	0	0	0	0	0	3816.02	16.1594
42.5	3908	3908	18.4307	18.4307	0.025	0	0	0	0	0	5789.14	13.8824
43.5	3157	3156	18.07	18.07	0.005	0	0	0	0	0	7694.19	11.2111
44.5	2609	2608	18.7013	18.7013	0.02	0	0	0	0	0	2323.09	9.2644
45.5	2031	2028	33.7493	33.7493	0.025	0	0	0	0	0	30879.4	7.20406
46.5	1547	1547	16.9638	16.9638	0.035	0	0	0	0	0	2557.47	5.49541
47.5	1166	1166	14.0369	14.0369	0.01	0	0	0	0	0	1123.2	4.14198
48.5	837	837	18.2643	18.2643	0.005	0	0	0	0	0	4721.99	2.97328
49.5	629	629	18.1239	18.1239	0.08	0	0	0	0	0	4986.84	2.2344
50.5	480	480	20.5778	20.5778	0.03	0	0	0	0	0	4177.23	1.7051
51.5	384	383	20.3021	20.3021	0.035	0	0	0	0	0	1822.5	1.36053
52.5	248	248	6.16657	6.16657	0.095	0	0	0	0	0	1202.91	0.88097
53.5	184	183	3.40068	3.40068	0.045	0	0	0	0	0	171.92	0.650071
54.5	144	144	14.9531	14.9531	0.055	0	0	0	0	0	1535.48	0.511531
55.5	114	114	8.79763	8.79763	0.68	0	0	0	0	0	594.445	0.404962
56.5	110	110	4.36641	4.36641	0.325	0	0	0	0	0	246.99	0.390753
57.5	41	41	2.01976	0	82.81	0	0	0	0	0	82.81	0.145644
58.5	21	21	1.35833	0	28.525	0	0	0	0	0	28.525	0.0745983
59.5	32	32	5.35172	0	5.52	0	0	0	0	0	165.735	0.113674
60.5	28	26	0.055	0	1.43	0	0	0	0	0	1.43	0.0923598
61.5	23	23	0	0	0	0	0	0	0	0	0	0.0817029
62.5	7	7	0	0	0	0	0	0	0	0	0	0.0248661
63.5	16	16	0	0	0	0	0	0	0	0	0	0.0568368
64.5	8	8	2.31	0	18.48	0	0	0	0	0	18.48	0.0284184
65.5	4	4	0	0	0	0	0	0	0	0	0	0.0142092
66.5	3	3	0	0	0	0	0	0	0	0	0	0.0106569
67.5	1	1	0	0	0	0	0	0	0	0	0	0.0035523
68.5	5	5	0	0	0	0	0	0	0	0	0	0.0177615
69.5	2	2	0	0	0	0	0	0	0	0	0	0.0071046
71.5	1	1	0.51	0	0.51	0	0	0	0.51	0.51	0.51	0.0035523
